anzsco_code,occupation,description
411411,Enrolled Nurse,"Provides nursing care to patients in a variety of health, aged care, welfare and community settings under the supervision of Registered Nurses. Registration or licensing is required."
411412,Mothercraft Nurse,"Provides care to newborn infants, and provides advice and training on infant care to parents of newborn infants. Registration or licensing is required."
411511,Aboriginal and Torres Strait Islander Health Worker,"Liaises with patients, clients, visitors to hospitals and other medical facilities and staff at health clinics, and works as a team member to arrange, coordinate and provide health care delivery in Aboriginal and Torres Strait Islander community health clinics. Registration or licensing may be required."
411611,Massage Therapist,"Performs therapeutic massage and administers body treatments for relaxation, health, fitness and remedial purposes."
411711,Community Development Officer,Works with community groups to deliver a range of projects and initiatives. The specialisation of 'Community Development Officer' is a subset of the broader occupation of 'Community Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Community Development Officer' profile should be combined with the broader 'Community Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
411711,Community Support Worker,"Provides social, physical, and emotional support to clients. The specialisation of 'Community Support Worker' is a subset of the broader occupation of 'Community Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Community Support Worker' profile should be combined with the broader 'Community Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
411711,Housing Officer,Facilitates community housing initiatives and programs. The specialisation of 'Housing Officer' is a subset of the broader occupation of 'Community Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Housing Officer' profile should be combined with the broader 'Community Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
411711,Community Worker,"Facilitates community development initiatives and collective solutions within a community to address issues, needs and problems associated with recreational, health, housing, employment and other welfare matters."
411712,Disabilities Services Officer,"Works in a range of service units which provide education and community access to people with intellectual, physical, social and emotional disabilities."
411713,Family Support Worker,Assists the work of Social Workers and Welfare Workers by providing services and support to families.
411714,Parole or Probation Officer,Supervises offenders who have been placed on probation by court order or released conditionally from corrective service institutions.
411715,Residential Care Officer,Provides care and supervision for children or disabled persons in group housing or institutional care.
411716,Youth Worker,"Assists young people as individuals or groups to solve social, emotional and financial problems in an agency framework."
421111,Child Care Group Leader,"Manages and directs the activities of child care rooms to provide care and supervision for children in programs, such as long day care and occasional care, in childcare centres, hospitals and educational centres. Registration or licensing may be required. The specialisation of 'Child Care Group Leader' is a subset of the broader occupation of 'Child Care Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Child Care Group Leader' profile should be combined with the broader 'Child Care Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
421111,Creche Attendant,Provides care and supervision for children in creche facilities. Registration or licensing may be required. The specialisation of 'Creche Attendant' is a subset of the broader occupation of 'Child Care Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Creche Attendant' profile should be combined with the broader 'Child Care Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
421111,Child Care Worker,"Provides care and supervision for children in programs, such as long day care and occasional care, in childcare centres, hospitals and educational centres. Registration or licensing may be required."
421112,Family Day Care Worker,"Provides care and supervision for babies and children, usually in the carer's own home and under local government or community-based schemes. Registration or licensing may be required."
421113,Nanny,"Assists parents in the provision of ongoing care and supervision for babies and children, usually in the child's home."
421114,Out of School Hours Care Worker,Provides care for school age children in an out of school hours care program. Registration or licensing may be required.
422111,Aboriginal Education Worker Coordinator,"Support Aboriginal and Torres Strait Islander students in developing their emotional, spiritual and physical wellbeing. Coordinate Aboriginal cultural programs to support students' learning. The specialisation of 'Aboriginal Education Worker Coordinator' is a subset of the broader occupation of 'Aboriginal and Torres Strait Islander Education Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Aboriginal Education Worker Coordinator' profile should be combined with the broader 'Aboriginal and Torres Strait Islander Education Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
422111,Aboriginal and Torres Strait Islander Education Worker,"Assists Aboriginal and Torres Strait Islander students in their education, provides feedback to parents or guardians and teachers about students' progress, and liaises with educational bodies, government agencies and committees."
422112,Integration Aide,Assists children with developmental disabilities in mainstream schools.
422115,Preschool Aide,Provides care and supervision for children at preschool centres under the direction of Early Childhood (Pre-primary School) Teachers.
422116,School Services Officer,"Performs administrative tasks in a school environment including supporting teaching staff with organising and preparing materials, resources and activities. The specialisation of 'School Services Officer' is a subset of the broader occupation of 'Teachers' Aide'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'School Services Officer' profile should be combined with the broader 'Teachers' Aide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
422116,Student Liaison Officer,"Provide advice and support to students in an educational setting including with administrative tasks such as enrolment or applications, or connecting students to support services. The specialisation of 'Student Liaison Officer' is a subset of the broader occupation of 'Teachers' Aide'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Student Liaison Officer' profile should be combined with the broader 'Teachers' Aide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
422116,Teachers' Aide,Assists teaching staff in preparing teaching materials and with general classroom tasks.
423111,Aged or Disabled Carer,"Provides general household assistance, emotional support, care and companionship for aged or disabled people in their own homes."
423211,Dental Assistant,"Prepares patients for dental examination and assists Dental Practitioners, Hygienists and Therapists in providing care and treatment."
423311,Hospital Orderly,"Assists with the provision of care to patients in a hospital by ensuring wards are neat and tidy, lifting and turning patients and transporting them in wheelchairs or on movable beds, and providing direct care and support."
423312,Nursing Support Worker,Provides limited patient care under the direction of nursing staff.
423313,Health Care Assistant,"Assists patients with daily activities, monitors health of patients and assists nursing staff when necessary. The specialisation of 'Health Care Assistant' is a subset of the broader occupation of 'Personal Care Assistant'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Health Care Assistant' profile should be combined with the broader 'Personal Care Assistant' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
423313,Personal Care Assistant,Provides routine personal care services to people in a range of health care facilities or in a person's home.
423314,Diversional Therapist's Assistant,"Supports Diversional Therapists to plan, design, coordinate and implement recreation and leisure-based activity programs. The specialisation of 'Diversional Therapist's Assistant' is a subset of the broader occupation of 'Therapy Aide'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Diversional Therapist's Assistant' profile should be combined with the broader 'Therapy Aide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
423314,Occupational Therapist's Assistant,Supports Occupational Therapists to assess functional limitations of people resulting from illnesses and disabilities. The specialisation of 'Occupational Therapist's Assistant' is a subset of the broader occupation of 'Therapy Aide'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Occupational Therapist's Assistant' profile should be combined with the broader 'Therapy Aide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
423314,Physiotherapist's Assistant,"Supports Physiotherapists to assess, treat and prevents disorders in human movement caused by injury or disease. The specialisation of 'Physiotherapist's Assistant' is a subset of the broader occupation of 'Therapy Aide'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Physiotherapist's Assistant' profile should be combined with the broader 'Therapy Aide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
423314,Therapy Aide,"Assists therapists in providing therapy programs and in the direct care of their patients in a variety of health, welfare and community settings. Registration or licensing may be required."
423411,Child or Youth Residential Care Assistant,Provides care and supervision for children and young people living in residential or institutional facilities such as group homes and correctional institutions. Registration or licensing may be required.
423412,Hostel Parent,Provides care and supervision for children and young people living in residential facilities such as boarding school residential colleges and hostels. Registration or licensing may be required.
423413,Refuge Worker,Provides services and support to people seeking assistance in a refuge.
431111,Bar Attendant,"Prepares, mixes and serves alcoholic and non-alcoholic drinks to patrons in a bar in a licensed establishment."
431112,Barista,"Prepares and serves espresso coffee and other hot beverages to patrons in a cafe, coffee shop, restaurant or dining establishment."
431211,Canteen Attendant,Prepares meals and serves the patrons of the canteen. The specialisation of 'Canteen Attendant' is a subset of the broader occupation of 'Cafe Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Canteen Attendant' profile should be combined with the broader 'Cafe Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
431211,Cafe Worker,Sells and serves food and beverages for consumption on premises in a cafe or similar establishment.
431311,Casino Gaming Inspector,Inspects and monitors licensed gambling premises to ensure compliance with regulations. The specialisation of 'Casino Gaming Inspector' is a subset of the broader occupation of 'Gaming Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Casino Gaming Inspector' profile should be combined with the broader 'Gaming Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
431311,Gaming Pit Boss,"Directs, supervises and monitors employees in a casino pit. The specialisation of 'Gaming Pit Boss' is a subset of the broader occupation of 'Gaming Worker'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Gaming Pit Boss' profile should be combined with the broader 'Gaming Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
431311,Gaming Worker,Provides gaming services within a casino or other gambling establishment.
431411,Front Office Manager (Hotel),Supervises and coordinates work activities of staff who provide services to guests at hotel front desks. The specialisation of 'Front Office Manager (Hotel)' is a subset of the broader occupation of 'Hotel Service Manager'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Front Office Manager (Hotel)' profile should be combined with the broader 'Hotel Service Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
431411,Head Housekeeper,Supervises and coordinates work activities of cleaning staff in hotels. The specialisation of 'Head Housekeeper' is a subset of the broader occupation of 'Hotel Service Manager'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Head Housekeeper' profile should be combined with the broader 'Hotel Service Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
431411,Head Porter (Hotel),Supervises and coordinates work activities of staff who handle baggage for guests at hotels or similar establishments. The specialisation of 'Head Porter (Hotel)' is a subset of the broader occupation of 'Hotel Service Manager'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Head Porter (Hotel)' profile should be combined with the broader 'Hotel Service Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
431411,Hotel Concierge,Assists patrons at hotels with personal services. The specialisation of 'Hotel Concierge' is a subset of the broader occupation of 'Hotel Service Manager'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Hotel Concierge' profile should be combined with the broader 'Hotel Service Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
431411,Hotel Service Manager,Supervises and coordinates the activities of hotel service workers.
431511,Waiter,"Serves food and beverages in a hotel, restaurant, club or dining establishment."
431912,Doorperson or Luggage Porter,"Assists guests in an accommodation establishment or passengers in a transport terminal by attending to and carrying luggage, welcoming and escorting guests, and attending to their general needs on arrival and departure."
431999,Cellar Hand (Hotel),"Receive, sort and distribute items in hotel cellars for serving to patrons through waitstaff."
431999,Uniform Room Attendant,"Receive, sort and distribute uniform items to individuals according to company or organisation specifications."
431999,Hospitality Workers nec,"This occupation group covers Hospitality Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 431999 Hospitality Workers nec."
441211,Emergency Service Worker,Attends the scene of emergencies to minimise risk to community safety and security.
441212,Fire Fighter,"Responds to fire alarms and emergency calls, controls and extinguishes fires, and protects life and property. Registration or licensing may be required."
441311,Detective,"Investigates serious crimes, such as terrorism, homicide, armed robbery, vice and arson, and gathers evidence to arrest and prosecute suspected offenders."
441312,Police Officer,"Maintains public order, and enforces laws by investigating crimes, patrolling public areas and arresting suspected offenders."
442111,Prison Officer,Supervises and controls the activities of inmates in a prison or other correctional institution.
442214,Private Investigator,Conducts investigations for clients and prepares evidence for court proceedings. Registration or licensing is required.
442215,Retail Loss Prevention Officer,"Detects and investigates shoplifting, fraud and other unlawful acts of employees or customers of a retail establishment. Registration or licensing may be required."
442216,Security Consultant,"Advises clients on security requirements, and recommends and designs security specifications. Registration or licensing may be required."
442217,Security Officer,"Patrols and guards industrial and commercial property, railway yards, stations and other facilities. Registration or licensing may be required."
442299,Bodyguard,"Guard, patrol, or monitor individuals to provide security and prevent theft, violence, or infractions of rules."
442299,Security Officers and Guards nec,"This occupation group covers Security Officers and Guards not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 442299 Security Officers and Guards nec."
451111,Beauty Therapist,"Provides skin analyses, facial therapies, skin-care treatments and body treatments such as massage to clients."
451211,Driving Instructor,Instructs individuals and groups in the theory and application of driving motor vehicles. Registration or licensing is required.
451399,Embalmer,Prepare bodies for interment in conformity with legal requirements.
451399,Funeral Director's Assistant,"Perform a variety of tasks during funeral, such as placing casket in parlour or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment."
451399,Funeral Workers nec,"This occupation group covers Funeral Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 451399 Funeral Workers nec."
451511,Natural Remedy Consultant,"Uses natural techniques and diagnostic methods for treatment, relaxation and health purposes."
451512,Weight Loss Consultant,Assists clients with advice and practical solutions for losing weight or body fat.
451513,Herbalist (Western),Utilises plants and plant based material to create medicines to help prevent or treat various illnesses.
451612,Travel Consultant,"Plans travel, accommodation and associated arrangements for clients and makes travel bookings. May work in a call centre."
451711,Flight Attendant,Provides services for the safety and comfort of aircraft passengers.
451811,Civil Celebrant,"Conducts civil marriage ceremonies, funerals, commitment ceremonies, namings and other ceremonies, and maintains appropriate records. Registration or licensing is required."
451812,Hair or Beauty Salon Assistant,Assists Hairdressers or Beauty Therapists by performing routine tasks in a hairdressing or beauty salon.
451815,First Aid Trainer,"Conducts first aid training courses in a variety of settings to a range of clients including corporate clients, school students, community groups and other members of the public."
451816,Religious Assistant,"Supports Ministers of Religion or a religious community in performing a variety of religious functions associated with the practise of a religion, including worship, spiritual guidance, pastoral care and teaching."
451899,Bus Escort,Provide services to ensure the safety of passengers aboard buses.
451899,Dog Walker,"Feed, water, exercise, or otherwise provide care to promote and maintain the well-being of dogs."
451899,First Aid Officer,Assess injuries and illnesses and administer basic emergency assistance.
451899,Horse Racing Analyst,"Post information enabling patrons to be informed about, or wager on, various horse races and sporting events."
451899,Nutrition Assistant,"Assist in the provision of food service and nutritional programs, under the supervision of a dietitian or nutritionist."
451899,Personal Service Workers nec,"This occupation group covers Personal Service Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 451899 Personal Service Workers nec."
452111,Fitness Instructor,"Directs, instructs and guides individuals or groups in the pursuit of physical fitness and wellbeing."
452211,Bungy Jump Master,"Directs, supervises and controls bungy jumping activities for individuals."
452212,Fishing Guide,"Plans, organises and provides guided fishing trips for individuals or groups."
452213,Hunting Guide,"Plans, organises and provides guided hunting trips for individuals or groups."
452214,Climbing Guide,"Plans, organises and provides guided rope or rock climbing trips for individuals or groups. The specialisation of 'Climbing Guide' is a subset of the broader occupation of 'Mountain or Glacier Guide'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Climbing Guide' profile should be combined with the broader 'Mountain or Glacier Guide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
452214,Mountain or Glacier Guide,"Plans, organises and provides guided trips for individuals or groups on mountains or glaciers."
452215,Hang-gliding Instructor,Conducts tandem hang-gliding activities and teaches the theory and practical skills of hang-gliding. The specialisation of 'Hang-gliding Instructor' is a subset of the broader occupation of 'Outdoor Adventure Instructor'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Hang-gliding Instructor' profile should be combined with the broader 'Outdoor Adventure Instructor' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
452215,Paragliding Instructor,Conducts tandem paragliding activities and teaches the theory and practical skills of paragliding. The specialisation of 'Paragliding Instructor' is a subset of the broader occupation of 'Outdoor Adventure Instructor'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Paragliding Instructor' profile should be combined with the broader 'Outdoor Adventure Instructor' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
452215,Outdoor Adventure Instructor,Provides adventure-based experiential education in outdoor adventure and bushcraft.
452216,Trekking Guide,"Plans, organises and provides guided bushwalking and trekking trips for individuals or groups."
452217,Whitewater Rafting Guide,"Plans, organises and provides guided rafting and kayaking trips for individuals or groups on whitewater rivers."
452299,Caving Guide,Escort individuals or groups on tours through cave networks.
452299,Cycle Touring Guide,Escort individuals or groups on bicycles on tours or through places of interest.
452299,Horse Trekking Guide,Escort individuals or groups on horses on tours or through places of interest.
452299,Sea Kayaking Guide,Escort individuals or groups in sea kayaks on sightseeing tours or through places of interest.
452299,Skydiving Instructor,Escort individuals or groups on skydiving tours.
452299,Outdoor Adventure Guides nec,"This occupation group covers Outdoor Adventure Guides not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 452299 Outdoor Adventure Guides nec."
452322,Sports Umpire,"Officiates at sporting events, such as netball, hockey, football, basketball, cricket, boxing and wrestling matches, by interpreting and enforcing match rules. Registration or licensing is required."
452414,Lifeguard,"Looks after the safety of people at beaches or swimming pools through accident prevention and rescue, and educating the public on water safety. This occupation requires high levels of physical fitness, sporting ability and personal commitment as well as, or in place of, formal qualifications or experience. Registration or licensing is required."
452499,Athlete,Compete in athletic events.
452499,Cricketer,Compete in cricketing events.
452499,Cyclist,Compete in cycling events.
452499,Harness Racing Driver,Compete in harness racing events.
452499,Racing Driver,Compete in racing events.
452499,Surfer,Compete in surfing events.
452499,Tennis Player,Compete in tennis events.
452499,Sportspersons nec,"This occupation group covers Sportspersons not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 452499 Sportspersons nec."
511111,Contract Administrator,"Prepares, interprets, maintains, reviews and negotiates variations to contracts on behalf of an organisation."
511112,Program or Project Administrator,"Plans and undertakes administration of organisational programs, special projects and support services."
512111,Office Manager,Organises and controls the functions and resources of an office such as administrative systems and office personnel.
512211,Health Practice Manager,Organises and controls the functions and resources of a health practice such as administrative systems and practice personnel.
512299,Accounting Practice Manager,"Plan, direct, or coordinate the operations of accounting practices."
512299,Architectural Practice Manager,"Plan, direct, or coordinate the operations of architectural practices."
512299,Legal Practice Manager,"Plan, direct, or coordinate the operations of legal practices."
512299,Veterinary Practice Manager,"Plan, direct, or coordinate medical and health services in veterinary practices."
512299,Practice Managers nec,"This occupation group covers Practice Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 512299 Practice Managers nec."
521111,Personal Assistant,"Performs liaison, coordination and organisational tasks in support of Managers and Professionals."
521211,Secretary (General),"Performs secretarial, clerical and other administrative tasks in support of Managers and Professionals."
521212,Legal Secretary,"Performs secretarial, clerical and other administrative tasks in support of Legal Professionals applying knowledge of legal terminology, procedures and documents."
531111,General Clerk,Performs a range of clerical and administrative tasks.
532111,Data Entry Operator,"Operates a keyboard to input and transfer data into a computer for storage, processing and transmission."
532112,Machine Shorthand Reporter,"Records and reproduces the spoken word in court and parliamentary proceedings, television programming and for the deaf and hearing impaired using handwritten shorthand, stenotype shorthand machines, computer-assisted transcription software and sound recording equipment."
532113,Word Processing Operator,"Operates a computer to type, edit and generate a variety of documents and reports."
541111,Call or Contact Centre Team Leader,"Oversees and determines work requirements, monitors telephone calls, coaches and allocates duties to Call or Contact Centre Operators."
541112,Call or Contact Centre Operator,"Answers customer telephone, Internet and email inquiries about goods and services, and promotes the goods and services."
541211,Information Officer,"Responds to personal, written and telephone inquiries and complaints about the organisation's goods and services, provides information and refers people to other sources."
542111,Receptionist (General),"Greets clients and visitors, and responds to personal, telephone, email and written inquiries and requests."
542112,Admissions Clerk,Records and processes information required for the admission and discharge of hospital patients and responds to telephone inquiries.
542113,Hotel or Motel Receptionist,"Greets and checks in guests, and looks after their needs on arrival and during their stay in a hotel or motel."
542114,Medical Receptionist,"Greets patients and other clients in a health facility, such as a clinic, practice, centre or surgery, and responds to personal, telephone and written inquiries and requests."
551111,Accounts Clerk,"Monitors creditor and debtor accounts, and undertakes related routine documentation. May work in a call centre."
551112,Cost Clerk,"Calculates and investigates the cost of wages, materials, overheads and other operating expenses."
551211,Bookkeeper,Maintains and evaluates records of financial transactions in account books and computerised accounting systems.
551311,Payroll Clerk,Prepares payroll and related records for employee salaries and statutory record-keeping purposes.
552111,Bank Worker,"Receives deposits and pays out money in a financial or commercial institution, keeps records of transactions, issues receipts and cashes cheques."
552211,Credit or Loans Officer,"Analyses, evaluates and processes credit and loan applications. May work in a call centre."
552312,Insurance Consultant,Prepares and checks documentation associated with insurance. May work in a call centre.
552314,Statistical Clerk,Compiles data and undertakes statistical and actuarial computations.
561199,Keno Terminal Operator,Operate Keno terminals and exchange tickets for patrons' money.
561199,Betting Clerks nec,"This occupation group covers Betting Clerks not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 561199 Betting Clerks nec."
561211,Courier,"Delivers goods, documents, messages, samples, x-rays and test results."
561212,Postal Delivery Officer,"Delivers mail on foot, by bicycle or by motorised transport over allocated delivery rounds."
561311,Medical Record Clerk,"Compiles, processes, and maintains medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the health care system. The specialisation of 'Medical Record Clerk' is a subset of the broader occupation of 'Filing or Registry Clerk'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Medical Record Clerk' profile should be combined with the broader 'Filing or Registry Clerk' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
561311,Filing or Registry Clerk,Processes and handles information and documents to maintain access to and security of database and record management systems.
561411,Mail Clerk,"Collects, sorts and despatches mail within an organisation."
561511,Market Research Interviewer,"Conducts interviews to collect information on the opinions and preferences of consumers, businesses, the electorate and other selected groups. The specialisation of 'Market Research Interviewer' is a subset of the broader occupation of 'Survey Interviewer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Market Research Interviewer' profile should be combined with the broader 'Survey Interviewer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
561511,Survey Interviewer,Interviews people and records their responses to survey and market research questions on a range of topics. May work in a call centre.
561611,Switchboard Operator,"Operates telecommunication switchboards and consoles to assist callers establish telephone connections, and receive caller inquiries and fault reports."
561912,Meter Reader,"Reads electric, gas or water meters, records usage, inspects meters and connections for defects and damage, and reports irregularities."
561913,Parking Inspector,Patrols assigned areas and issues parking infringement notices to owners of vehicles that are illegally parked.
561999,Cash Processor,Receive and disburse money in establishments other than financial institutions.
561999,Media Monitor,Monitor and file relevant media articles and clips.
561999,Clerical and Office Support Workers nec,"This occupation group covers Clerical and Office Support Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 561999 Clerical and Office Support Workers nec."
591112,Production Clerk,"Records and coordinates the flow of work and materials between departments, examines orders for goods, and prepares production schedules."
591113,Purchasing Officer,"Prepares purchase orders, monitors supply sources and negotiates contracts with suppliers."
591115,Stock Clerk,"Monitors stock levels and maintains stock, order and inventory records."
591116,Warehouse Administrator,Administers and coordinates storage and distribution operations within an organisation.
591117,Order Clerk,Receives and processes incoming orders for goods and services from inside or outside an organisation.
599311,Debt Collector,"Collects consumer, commercial, insurance and other forms of debt for clients, makes arrangements to settle overdue accounts, formalises payment arrangements and follows up until accounts are fully paid. Registration or licensing may be required."
599411,Human Resource Clerk,"Maintains and updates personnel records such as information on transfers and promotions, employee leave taken and accumulated, salaries, superannuation and taxation, qualifications and training."
599511,Customs Officer,"Administers and enforces customs and related legislation, and assists with customs control of overseas passengers, crew, aircraft, ships, cargo, mail and bond stores."
599512,Immigration Officer,"Examines and assesses the entry of people from other countries, administers visas and residency applications according to immigration legislation, rules and policies, and, where necessary, uses legal powers to detain and remove illegal entrants."
599516,Taxation Inspector,"Inspects and assesses taxation returns to ensure compliance with government legislation, and investigates suspected breaches of taxation legislation."
599518,Transport Operations Inspector,"Monitors scheduled train, tram and bus services and investigates accidents, complaints and service disruptions."
599599,Animal Management Officer,"Evaluate animal welfare for the purpose of investigations of mistreatment, or control and care of abandoned, dangerous, or unattended animals."
599599,Assessment and Compliance Officer,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere."
599599,Weights and Measures Inspector,"Weigh, measure, and check materials, supplies, and equipment for the purpose of keeping relevant records."
599599,Inspectors and Regulatory Officers nec,"This occupation group covers Inspectors and Regulatory Officers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 599599 Inspectors and Regulatory Officers nec."
599711,Library Assistant,"Issues, receives and shelves library items and maintains associated records."
599913,Proof Reader,"Reads draft copies and proofs, detects errors and marks corrections to grammar, typing and composition."
599914,Radio Despatcher,"Provides radio and communications services for the coordination of operational units in transport, courier, military, emergency, security, rescue and road service organisations. Registration or licensing may be required."
599915,Clinical Coder,"Assigns codes to narrative descriptions of patients' diseases, operations and procedures in accordance with recognised classification systems to allow for easy storage, retrieval and analysis of health data."
599916,Facilities Administrator,"Provides assistance to ensure the day-to-day smooth operation of a building's infrastructure, through administrative support, including budgeting, procurement negotiation, contractor liaison and documentation, as well as coordination of staff and office equipment during relocation, and at times supervision and physical assistance with maintenance tasks."
599999,Coding Clerk,Translates narrative descriptions or numeric information into classification or record systems.
599999,Examination Supervisor,Assist faculty or other instructional staff in education institutions by supervising examinations.
599999,Travel Clerk,"Make and confirm reservations for transportation or lodging, or sell transportation tickets."
599999,Clerical and Administrative Workers nec,"This occupation group covers Clerical and Administrative Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 599999 Clerical and Administrative Workers nec."
611211,Insurance Underwriter,Reviews individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications. The specialisation of 'Insurance Underwriter' is a subset of the broader occupation of 'Insurance Agent'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Insurance Underwriter' profile should be combined with the broader 'Insurance Agent' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
611211,Insurance Agent,Represents insurance companies in selling insurance to clients. Registration or licensing is required.
611311,Sales Representative (Building and Plumbing Supplies),"Represents their company in selling builders' timber, and building and plumbing hardware and supplies to wholesale and retail establishments."
611312,Sales Representative (Business Services),"Represents their company in selling financial, advertising and other business services."
611313,Sales Representative (Motor Vehicle Parts and Accessories),Represents their company in selling motor vehicle parts and accessories to wholesale and retail establishments.
611314,Sales Representative (Personal and Household Goods),"Represents their company in selling consumer goods, such as toys, sporting goods, books, stationery, hardware, floor coverings, furniture, textiles, clothing, footwear, toiletries and groceries, to wholesale and retail establishments."
611399,New Home Sales Consultant,"Rent, buy, or sell new homes for clients."
611399,Sales Representative (Jewellery and Watches),"Sell merchandise, such as jewellery and watches to consumers."
611399,Sales Representatives nec,"This occupation group covers Sales Representatives not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 611399 Sales Representatives nec."
612112,Property Manager,Supervises the leasing of rental properties on behalf of owners. Registration or licensing may be required.
612114,Real Estate Agent,"Coordinates the activities of real estate representatives in selling and leasing real estate, ensuring compliance with legislative requirements. Registration or licensing is required."
612115,Real Estate Representative,"Arranges the conduct of real estate transactions such as sales and leasing, and assists buyers to find suitable properties, on behalf of an agency. Registration or licensing is required."
621111,Clothing Sales Assistant,"Sells goods and services, such as clothing and accessories. The specialisation of 'Clothing Sales Assistant' is a subset of the broader occupation of 'Sales Assistant (General)'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Clothing Sales Assistant' profile should be combined with the broader 'Sales Assistant (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
621111,Cosmetic Sales Assistant,"Sells goods and services, such as cosmetics. The specialisation of 'Cosmetic Sales Assistant' is a subset of the broader occupation of 'Sales Assistant (General)'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Cosmetic Sales Assistant' profile should be combined with the broader 'Sales Assistant (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
